,time,team,x_pos_1,x_pos_2,x_pos_3,x_pos_4,x_pos_5,x_pos_6,x_pos_7,y_pos_1,y_pos_2,y_pos_3,y_pos_4,y_pos_5,y_pos_6,y_pos_7,x_pos_ball,y_pos_ball,ballControl
0,5,0,198.0,222.0,314.0,256.0,77.0,74.0,,340.0,94.0,206.0,267.0,215.0,251.0,,348,196,1
1,5,1,432.0,596.0,459.0,565.0,482.0,633.0,429.0,127.0,265.0,296.0,226.0,200.0,241.0,410.0,348,196,0
2,6,0,222.0,198.0,77.0,256.0,74.0,314.0,,94.0,340.0,215.0,267.0,251.0,206.0,,348,196,1
3,6,1,429.0,481.0,633.0,459.0,596.0,432.0,565.0,410.0,200.0,241.0,297.0,265.0,128.0,226.0,348,196,0
4,7,0,314.0,74.0,222.0,77.0,198.0,256.0,,206.0,251.0,94.0,215.0,340.0,267.0,,348,196,1
5,7,1,633.0,482.0,459.0,429.0,432.0,596.0,565.0,242.0,200.0,297.0,410.0,129.0,265.0,226.0,348,196,0
6,8,0,256.0,77.0,74.0,314.0,198.0,221.0,,266.0,215.0,251.0,206.0,340.0,94.0,,348,196,1
7,8,1,482.0,432.0,632.0,596.0,565.0,459.0,429.0,200.0,128.0,243.0,266.0,226.0,297.0,411.0,348,196,0
8,9,0,222.0,198.0,77.0,256.0,74.0,314.0,,94.0,340.0,215.0,267.0,251.0,206.0,,348,196,1
9,9,1,596.0,432.0,482.0,429.0,565.0,633.0,459.0,266.0,128.0,199.0,411.0,226.0,242.0,297.0,348,196,0
10,10,0,76.0,221.0,256.0,198.0,74.0,314.0,,214.0,93.0,267.0,340.0,251.0,206.0,,348,196,1
11,10,1,633.0,429.0,459.0,432.0,482.0,596.0,565.0,241.0,411.0,297.0,127.0,198.0,266.0,226.0,348,196,0
12,11,0,198.0,74.0,77.0,314.0,256.0,222.0,,340.0,251.0,215.0,206.0,267.0,94.0,,348,196,1
13,11,1,432.0,429.0,596.0,565.0,459.0,633.0,482.0,127.0,411.0,266.0,226.0,297.0,241.0,198.0,348,196,0
14,12,0,74.0,222.0,314.0,198.0,256.0,77.0,,251.0,94.0,206.0,340.0,267.0,215.0,,348,196,1
15,12,1,633.0,596.0,429.0,565.0,459.0,432.0,482.0,241.0,266.0,411.0,226.0,297.0,128.0,198.0,348,196,0
