,time,team,x_pos_1,x_pos_2,x_pos_3,x_pos_4,x_pos_5,x_pos_6,x_pos_7,y_pos_1,y_pos_2,y_pos_3,y_pos_4,y_pos_5,y_pos_6,y_pos_7
0,5,0,198.0,222.0,314.0,256.0,77.0,74.0,,340.0,94.0,206.0,267.0,215.0,251.0,
1,5,1,432.0,596.0,459.0,565.0,482.0,633.0,429.0,127.0,265.0,296.0,226.0,200.0,241.0,410.0
2,6,0,222.0,198.0,77.0,256.0,74.0,314.0,,94.0,340.0,215.0,267.0,251.0,206.0,
3,6,1,429.0,481.0,633.0,459.0,596.0,432.0,565.0,410.0,200.0,241.0,297.0,265.0,128.0,226.0
4,7,0,314.0,74.0,222.0,77.0,198.0,256.0,,206.0,251.0,94.0,215.0,340.0,267.0,
5,7,1,633.0,482.0,459.0,429.0,432.0,596.0,565.0,242.0,200.0,297.0,410.0,129.0,265.0,226.0
6,8,0,256.0,77.0,74.0,314.0,198.0,221.0,,266.0,215.0,251.0,206.0,340.0,94.0,
7,8,1,482.0,432.0,632.0,596.0,565.0,459.0,429.0,200.0,128.0,243.0,266.0,226.0,297.0,411.0
8,9,0,222.0,198.0,77.0,256.0,74.0,314.0,,94.0,340.0,215.0,267.0,251.0,206.0,
9,9,1,596.0,432.0,482.0,429.0,565.0,633.0,459.0,266.0,128.0,199.0,411.0,226.0,242.0,297.0
10,10,0,76.0,221.0,256.0,198.0,74.0,314.0,,214.0,93.0,267.0,340.0,251.0,206.0,
11,10,1,633.0,429.0,459.0,432.0,482.0,596.0,565.0,241.0,411.0,297.0,127.0,198.0,266.0,226.0
12,11,0,198.0,74.0,77.0,314.0,256.0,222.0,,340.0,251.0,215.0,206.0,267.0,94.0,
13,11,1,432.0,429.0,596.0,565.0,459.0,633.0,482.0,127.0,411.0,266.0,226.0,297.0,241.0,198.0
14,12,0,74.0,222.0,314.0,198.0,256.0,77.0,,251.0,94.0,206.0,340.0,267.0,215.0,
15,12,1,633.0,596.0,429.0,565.0,459.0,432.0,482.0,241.0,266.0,411.0,226.0,297.0,128.0,198.0
16,13,0,314.0,74.0,198.0,256.0,77.0,221.0,,206.0,251.0,340.0,267.0,215.0,93.0,
17,13,1,459.0,596.0,429.0,432.0,565.0,482.0,633.0,297.0,266.0,411.0,129.0,226.0,198.0,241.0
18,14,0,256.0,198.0,314.0,74.0,77.0,221.0,,267.0,340.0,206.0,251.0,216.0,93.0,
19,14,1,429.0,633.0,432.0,565.0,459.0,482.0,596.0,411.0,242.0,129.0,226.0,297.0,198.0,266.0
20,15,0,198.0,221.0,314.0,256.0,74.0,77.0,,340.0,93.0,206.0,267.0,251.0,216.0,
21,15,1,429.0,633.0,432.0,482.0,565.0,596.0,459.0,410.0,242.0,129.0,198.0,226.0,266.0,297.0
22,16,0,77.0,314.0,74.0,198.0,221.0,256.0,,216.0,206.0,251.0,340.0,93.0,267.0,
23,16,1,429.0,596.0,432.0,565.0,459.0,482.0,633.0,410.0,265.0,129.0,226.0,297.0,198.0,243.0
24,17,0,198.0,256.0,74.0,222.0,314.0,77.0,,340.0,267.0,251.0,93.0,206.0,216.0,
25,17,1,482.0,565.0,633.0,432.0,459.0,429.0,596.0,198.0,226.0,243.0,128.0,297.0,410.0,265.0
26,18,0,77.0,256.0,222.0,314.0,198.0,73.0,,216.0,266.0,94.0,206.0,340.0,251.0,
27,18,1,459.0,432.0,633.0,596.0,482.0,429.0,565.0,297.0,127.0,243.0,265.0,198.0,410.0,226.0
28,19,0,77.0,222.0,73.0,255.0,198.0,314.0,,216.0,94.0,251.0,266.0,340.0,205.0,
29,19,1,482.0,459.0,633.0,432.0,565.0,597.0,429.0,198.0,297.0,243.0,127.0,226.0,264.0,410.0
30,20,0,198.0,73.0,77.0,314.0,255.0,221.0,,340.0,250.0,216.0,206.0,266.0,94.0,
31,20,1,459.0,429.0,432.0,597.0,633.0,482.0,565.0,296.0,410.0,128.0,264.0,243.0,199.0,226.0
32,21,0,198.0,77.0,255.0,74.0,314.0,222.0,,340.0,216.0,266.0,251.0,206.0,93.0,
33,21,1,482.0,565.0,459.0,432.0,633.0,597.0,429.0,200.0,226.0,296.0,128.0,243.0,264.0,410.0
34,22,0,221.0,77.0,74.0,255.0,314.0,198.0,,92.0,216.0,251.0,266.0,206.0,340.0,
35,22,1,565.0,482.0,633.0,432.0,597.0,459.0,429.0,226.0,199.0,243.0,129.0,265.0,297.0,410.0
36,23,0,314.0,198.0,77.0,74.0,255.0,221.0,,206.0,340.0,215.0,251.0,266.0,92.0,
37,23,1,459.0,482.0,597.0,633.0,565.0,432.0,429.0,297.0,199.0,264.0,243.0,226.0,129.0,410.0
38,24,0,77.0,198.0,256.0,221.0,314.0,74.0,,215.0,340.0,267.0,92.0,206.0,251.0,
39,24,1,633.0,429.0,597.0,432.0,459.0,565.0,482.0,243.0,410.0,264.0,129.0,296.0,226.0,199.0
